,ticker,model,precision,recall,f1,auc
0,AAPL,Logistic Regression,0.5574712643678161,0.7238805970149254,0.6298701298701299,0.5146612072381456
1,AAPL,SVM,0.5497835497835498,0.9477611940298507,0.6958904109589041,0.48131026284506667
2,AAPL,Random Forest,0.5342465753424658,0.582089552238806,0.5571428571428572,0.5239730550785894
3,TSLA,Logistic Regression,0.4925373134328358,0.515625,0.5038167938931297,0.513327205882353
4,TSLA,SVM,0.5357142857142857,0.3515625,0.42452830188679247,0.4868040966386554
5,TSLA,Random Forest,0.5238095238095238,0.515625,0.5196850393700787,0.4886423319327731
6,JNJ,Logistic Regression,0.562874251497006,0.6911764705882353,0.6204620462046204,0.5228537360890302
7,JNJ,SVM,0.5379310344827586,0.5735294117647058,0.5551601423487544,0.46313593004769477
8,JNJ,Random Forest,0.5470085470085471,0.47058823529411764,0.5059288537549407,0.468667196608373
9,SPY,Logistic Regression,0.5375,0.9626865671641791,0.6898395721925134,0.41916523576806236
10,SPY,SVM,0.5409836065573771,0.9850746268656716,0.6984126984126984,0.5856557918372739
11,SPY,Random Forest,0.53125,0.6343283582089553,0.5782312925170068,0.44683661339321096
