Date,Close,High,Low,Open,Volume
2021-09-07,421.9483947753906,423.2101520054819,421.27545948751975,423.1166832249812,51671500
2021-09-08,421.43438720703125,422.14471575872943,419.51837690907405,421.4157048587594,56181900
2021-09-09,419.6304931640625,422.98581388405796,419.38748005990004,421.23805907529504,57970400
2021-09-10,416.3219299316406,421.97643464658915,416.2004233686548,421.55586791625456,89948200
2021-09-13,417.3874206542969,419.57448188147487,415.07888137909265,419.31278639177305,83738600
2021-09-14,415.1349182128906,419.03231214319595,414.2470076652523,418.8266922544094,78197100
2021-09-15,418.6024169921875,419.0977701394543,414.4526542585058,415.5555116773011,78792200
2021-09-16,417.9388732910156,419.05105771787464,414.99476341128366,418.0790622084627,77786700
2021-09-17,413.86767578125,417.59004823430996,413.51137369740354,417.168134146106,118425000
2021-09-20,406.966796875,409.3296017705494,402.10987722418974,407.7543985068498,166445500
2021-09-21,406.5823059082031,410.59533949300106,406.0572382327374,409.30141250201683,92526100
2021-09-22,410.5484619140625,412.5831207202877,406.69483696311266,408.85136298150707,102350100
2021-09-23,415.53662109375,417.1399803704705,412.17993634176355,412.41434258074156,76396000
2021-09-24,416.2210998535156,416.9337039803391,413.6895010133059,413.90516505538227,62094800
2021-09-27,415.03033447265625,416.3523605127942,414.33647253059087,415.18971469523467,61371100
2021-09-28,406.6667175292969,412.59251441684535,405.93537117136833,412.26433994291904,130436300
2021-09-29,407.3511657714844,409.77961092728947,406.78858508585967,408.0449990691309,82329200
2021-09-30,402.37237548828125,409.52642965582174,402.0348156347722,408.8232109595568,140506000
2021-10-01,407.15423583984375,408.83259245748525,400.5815046124614,404.0975980601775,129240100
2021-10-04,401.90362548828125,406.89176913571015,399.76581284989487,405.9916570765266,128570000
2021-10-05,406.0854187011719,408.32632771246665,402.60683774485324,403.4037961536202,90682500
2021-10-06,407.7731628417969,407.97944151471984,400.8722556277345,402.4943287877646,113032200
2021-10-07,411.298583984375,414.13020116989895,410.86728449835147,411.0454355366307,72437500
2021-10-08,410.5484619140625,412.45186810178103,409.92026919841044,412.06743842451107,74557400
2021-10-11,407.5762634277344,412.79884218436496,407.5106228023292,409.89219860577384,65233300
2021-10-12,406.5729064941406,408.89822655825884,405.78530500807835,408.4950547167105,71181200
2021-10-13,408.03558349609375,408.8513125536215,404.6226438533049,407.5948986632403,72974000
2021-10-14,414.8990783691406,415.04910180856405,411.2235756383798,411.6923881563111,70236800
2021-10-15,418.058837890625,418.42452536112467,416.3898666001841,417.00870250976914,66260200
2021-10-18,419.2964782714844,419.6340094982905,415.6209761000303,416.27732497087453,62213200
2021-10-19,422.53131103515625,422.59692303340495,420.30911592133424,420.91859501540216,46996800
2021-10-20,424.19091796875,424.4909648278342,422.878248727811,422.99075914645675,49571600
2021-10-21,425.29730224609375,425.5223230800388,423.15951848148666,423.59081795122904,41305400
2021-10-22,424.8565979003906,426.3099336904653,422.91570745443045,424.8659833060559,58845100
2021-10-25,427.1351318359375,427.4633063660101,424.17226149929996,425.9443581792132,45214500
2021-10-26,427.5194396972656,429.89162954029996,427.14439546156063,428.68211402620443,56075100
2021-10-27,425.62548828125,428.6446418796485,425.55046225853243,427.9789361517596,72438000
2021-10-28,429.7323303222656,429.80732773792477,427.0413509410185,427.05070773419686,51437900
2021-10-29,430.604248046875,430.8949094853391,427.1444097745334,427.4350712129975,70162400
2021-11-01,431.3450622558594,431.9638982601933,429.6198354925865,431.5888253261382,48433600
2021-11-02,433.0889587402344,433.3983909976397,431.3824744636354,431.5137556913935,48908400
2021-11-03,435.7330627441406,436.1362346004919,432.0856879971298,432.5263728629684,52509800
2021-11-04,437.7864685058594,437.87085131761023,435.9862160130472,436.33313266603705,52847100
2021-11-05,439.3053894042969,441.29314959663833,437.7958270632598,440.00860807313694,66390600
2021-11-08,439.6805114746094,440.8994412181432,438.9960634954237,440.40250108208477,50405200
2021-11-09,438.2271728515625,440.2805738708811,436.8207353651275,440.0461676231419,51149100
2021-11-10,434.70172119140625,438.2272005366199,433.2202862022842,436.53945827784827,69429700
2021-11-11,434.84228515625,436.26749330276374,434.8235429594951,436.19246728766257,34848500
2021-11-12,438.1239929199219,438.67718819768925,435.161094692695,436.1081050332003,53466700
2021-11-15,438.2740173339844,439.56794432499424,437.1488845782679,439.40856410960447,46980500
2021-11-16,440.00860595703125,441.1431240587056,437.93646296807935,438.0114603688836,48857500
2021-11-17,438.9397888183594,439.9242836397509,438.3209528739824,439.7461325975495,47858300
2021-11-18,440.4305725097656,440.6931063478928,437.25201023461375,439.9711168325113,50625600
2021-11-19,439.6429138183594,441.5650332460222,439.2772264052899,440.31797621657034,57315600
2021-11-22,438.4052429199219,444.00286422667034,438.19896431544726,441.5181641823432,72762000
2021-11-23,438.9866638183594,439.8399060268832,435.4799553727706,438.0771663973215,73206500
2021-11-24,440.1587219238281,440.2806177630515,436.17381531500166,436.98954456020806,61858800
2021-11-26,430.34173583984375,434.96422009835896,429.21657442443677,433.50152742675596,112669600
2021-11-29,435.6205749511719,437.4583119148909,432.92959581507233,435.1236348523177,86268800
2021-11-30,427.1445007324219,435.08618670574947,426.9007090428121,433.18280884176426,148559600
2021-12-01,422.4000549316406,435.6862135337651,422.2031616971008,432.84521097923056,131939200
2021-12-02,428.8697204589844,430.4355669860337,422.22196184931875,422.6157769864965,127637800
2021-12-03,425.1379089355469,431.58874442702455,420.9185967447433,430.5292522904625,137331600
2021-12-06,430.1730041503906,432.0482542479885,425.2692148441158,427.6789180869,98977500
2021-12-07,439.071044921875,439.63362565886325,430.0417113660508,435.442440658666,95484700
2021-12-08,440.2337341308594,440.68380448756346,437.71152027988126,439.4649032824723,72238800
2021-12-09,437.2614440917969,440.3368530852221,437.06455084489505,438.9491577219033,61272600
2021-12-10,441.3775939941406,441.52761743144606,437.41145846142433,439.9617996675269,77159800
2021-12-13,437.4677429199219,441.2088578538092,437.1864382259011,440.8619411504924,87724700
2021-12-14,434.4578857421875,436.6894377150197,431.5418858646757,434.2047373052017,97264100
2021-12-15,441.246337890625,441.49010093703475,432.00134036114184,434.5141971486355,116899300
2021-12-16,437.3551940917969,443.3747305871484,435.80808994562267,443.0934545318682,116568600
2021-12-17,432.7004699707031,437.2827414785998,430.9974086651927,434.28120719660683,135511600
2021-12-20,428.0993957519531,428.4945657060667,424.4862697414786,427.62893618734074,107134800
2021-12-21,435.7019958496094,435.84312797159805,429.3507919289712,431.5148943716561,69806300
2021-12-22,440.05841064453125,440.17131633051764,435.25029960943573,435.44791327448115,58890200
2021-12-23,442.7965087890625,444.2925666264492,440.9523154989883,441.0558028110541,56439700
2021-12-27,449.06298828125,449.11002274302933,444.1231637825782,444.1701982443576,56808600
2021-12-28,448.6960754394531,450.52146074512336,447.9339332846144,449.4958623974338,47274600
2021-12-29,449.2700500488281,450.2862300149204,447.8022185897107,448.7995905115579,54503000
2021-12-30,448.028076171875,450.70028317333333,447.5670349664784,449.693492768275,55329000
2021-12-31,446.8989562988281,448.6866969603346,446.6261104168571,447.53880315085513,65237400
2022-01-03,449.4864501953125,449.61819265083415,445.8545162929149,448.15975083339737,72668200
2022-01-04,449.3359069824219,451.6223622300133,447.4822951975026,450.9072545217483,71178700
2022-01-05,440.7076110839844,449.7404385150584,440.613513448486,448.9688781043653,104538900
2022-01-06,440.2936706542969,443.0035221624816,437.9319546066855,440.2466361867598,86858900
2022-01-07,438.552978515625,441.47925183914367,437.1980527186537,440.3031029677847,85111600
2022-01-10,438.0072021484375,438.2235951358121,429.62361061806894,435.36322212037476,119362000
2022-01-11,441.9967346191406,442.0908322693714,434.75164626994354,437.7437907456816,74303100
2022-01-12,443.19171142578125,445.2429369205549,441.2346123000405,443.72804221308974,67605400
2022-01-13,437.0851745605469,444.94185525916146,436.0595761258511,444.2926187440994,91173100
2022-01-14,437.263916015625,437.6120514809011,432.7286791584299,433.94247281173614,95890900
2022-01-18,429.52020263671875,432.7851934565631,428.4099248561453,432.5781900809837,109709100
2022-01-19,425.0601501464844,432.4557595624984,424.78727560160723,431.06321784637055,109357600
2022-01-20,420.3556213378906,431.6372325182061,418.2385532953383,426.9420552480534,122379700
2022-01-21,412.10369873046875,421.58814926561837,412.0754723100945,419.2358518525332,202271200
2022-01-24,413.8537902832031,414.3618945596718,395.9010692318445,406.5052155318438,251783900
2022-01-25,408.80108642578125,413.7409112645625,401.9135523304981,407.47438716618876,167997300
2022-01-26,407.7755432128906,417.80574473347866,403.5225703047687,414.6818862839636,186391100
2022-01-27,405.7619323730469,415.50045053402,404.0777079047049,412.3672026513168,149878300
2022-01-28,415.8392028808594,415.886237349482,402.54401155859085,407.11686454826264,164457400
2022-01-31,423.32891845703125,423.677053931945,413.82562974282484,415.17113717300543,152251400
2022-02-01,426.1893005371094,426.8291186076498,420.5343677869096,424.053395889453,123155400
